Course,Module,Year Of Study,Semester,Academic Year,Student ID,Name,Attendance,Grade,Moodle Activity
ISD,RTES,3,2,2019,D2939,,0.964,55.4098,
ISD,RTES,3,2,2019,C7093,,0.893,76.8392,
ISD,RTES,3,2,2019,C4622,,0.786,62.4046,
ISD,RTES,3,2,2019,C9716,,0.000,0,
ISD,RTES,3,2,2019,D2278,,0.571,24.3837,
ISD,RTES,3,2,2019,D1934,,1.000,74.5234,
ISD,RTES,3,2,2019,D3015,,0.793,64.1331,
ISD,RTES,3,2,2019,C8645,,0.893,80.6525,
ISD,RTES,3,2,2019,D2839,,1.000,54.0319,
ISD,RTES,3,2,2019,D3135,,0.964,86.5461,
ISD,RTES,3,2,2019,C6744,,0.500,41.73,
ISD,RTES,3,2,2019,D0502,,0.607,57.0645,
ISD,RTES,3,2,2019,B6039,,0.750,63.0475,
ISD,RTES,3,2,2019,C8808,,1.000,74.8173,
ISD,RTES,3,2,2019,B9970,,0.429,30.8853,
SD,RTES,3,2,2019,D3653,,0.897,90.2601,
SD,RTES,3,2,2019,B6177,,0.483,39.6778,
SD,RTES,3,2,2019,C5626,,0.759,87.7924,
SD,RTES,3,2,2019,D1665,,0.724,86.4646,
SD,RTES,3,2,2019,D3371,,0.586,59.6431,
SD,RTES,3,2,2019,D0391,,0.586,50.4586,
SD,RTES,3,2,2019,D2185,,0.793,47.8134,
SD,RTES,3,2,2019,D2758,,0.552,53.7627,
SD,RTES,3,2,2019,D1234,,0.621,54.8759,
SD,RTES,3,2,2019,C5601,,0.759,82.485,
SD,RTES,3,2,2019,A5002,,0.828,72.2562,
SD,RTES,3,2,2019,C7403,,0.724,83.0312,
SD,RTES,3,2,2019,A6810,,0.793,30.7856,
SD,RTES,3,2,2019,D0664,,0.379,52.7469,
SD,RTES,3,2,2019,D0098,,0.241,14.5557,
SD,RTES,3,2,2019,C3505,,0.931,18.8424,
SD,RTES,3,2,2019,C6308,,0.759,58.778,
SD,RTES,3,2,2019,C6610,,0.897,71.392,
SD,RTES,3,2,2019,D3630,,0.931,82.563,
SD,RTES,3,2,2019,D2965,,0.400,40.7308,
SD,RTES,3,2,2019,C4819,,0.383,68.5351,
SD,RTES,3,2,2019,B4349,,0.000,0,
SD,RTES,3,2,2019,C9798,,0.667,60.4605,
SD,RTES,3,2,2019,C9781,,0.500,74.0786,
SD,RTES,3,2,2019,C4598,,0.367,39.5273,
SD,RTES,3,2,2019,D1166,,0.633,57.9384,
SD,RTES,3,2,2019,D3046,,0.600,70.2856,
SD,RTES,3,2,2019,D0193,,0.433,44.937,
SD,RTES,3,2,2019,A9690,,0.033,0,
SD,RTES,3,2,2019,D2989,,0.774,33.8699,
SD,RTES,3,2,2019,C4778,,0.300,33.0264,
SD,RTES,3,2,2019,D3098,,0.433,47.8134,
SD,RTES,3,2,2019,C9718,,0.500,58.7846,
SD,RTES,3,2,2019,D2845,,0.833,88.6157,
SD,RTES,3,2,2019,D1356,,0.767,64.9407,
SD,RTES,3,2,2019,C5078,,0.800,77.4996,
SD,RTES,3,2,2019,D0247,,1.000,69.0971,
SD,RTES,3,2,2019,C8959,,0.867,82.7437,
SD,RTES,3,2,2019,D2235,,0.600,40.5117,
SD,RTES,3,2,2019,C8793,,0.400,33.5565,
